Function,Description
in float **LIFETIME**,Particle lifetime.
in float **DELTA**,Delta process time.
in uint **NUMBER**,Unique number since emission start.
in uint **INDEX**,Particle index (from total particles).
in mat4 **EMISSION_TRANSFORM**,Emitter transform (used for non-local systems).
in uint **RANDOM_SEED**,Random seed used as base for random.
inout bool **ACTIVE**,"``true`` when the particle is active, can be set to ``false``."
inout vec4 **COLOR**,"Particle color, can be written to and accessed in the mesh's vertex function."
inout vec3 **VELOCITY**,"Particle velocity, can be modified."
inout mat4 **TRANSFORM**,Particle transform.
inout vec4 **CUSTOM**,Custom particle data. Accessible from the mesh's shader as ``INSTANCE_CUSTOM``.
inout float **MASS**,"Particle mass, intended to be used with attractors. ``1.0`` by default."
in vec4 **USERDATAX**,"Vector that enables the integration of supplementary user-defined data into the particle process shader. ``USERDATAX`` are six built-ins identified by number, ``X`` can be numbers between 1 and 6, for example ``USERDATA3``."
in uint **FLAG_EMIT_POSITION**,A flag for the last argument of the ``emit_subparticle()`` function to assign a position to a new particle's transform.
in uint **FLAG_EMIT_ROT_SCALE**,A flag for the last argument of the ``emit_subparticle()`` function to assign a rotation and scale to a new particle's transform.
in uint **FLAG_EMIT_VELOCITY**,A flag for the last argument of the ``emit_subparticle()`` function to assign a velocity to a new particle.
in uint **FLAG_EMIT_COLOR**,A flag for the last argument of the ``emit_subparticle()`` function to assign a color to a new particle.
in uint **FLAG_EMIT_CUSTOM**,A flag for the last argument of the ``emit_subparticle()`` function to assign a custom data vector to a new particle.
in vec3 **EMITTER_VELOCITY**,Velocity of the :ref:`Particles2D<class_GPUParticles2D>` (:ref:`3D<class_GPUParticles3D>`) node.
in float **INTERPOLATE_TO_END**,Value of the :ref:`interp_to_end<class_GPUParticles2D_property_interp_to_end>` (:ref:`3D<class_GPUParticles3D_property_interp_to_end>`) property of the Particles node.
in uint **AMOUNT_RATIO**,Value of the :ref:`amount_ratio<class_GPUParticles2D_property_amount_ratio>` (:ref:`3D<class_GPUParticles3D_property_amount_ratio>`) property of the Particles node.
