Stencil mode,Description
**read**,Read from the stencil buffer.
**write**,Write reference value to the stencil buffer.
**write_if_depth_fail**,Write reference value to the stencil buffer if the depth test fails.
**compare_always**,Always pass stencil test.
**compare_equal**,Pass stencil test if the reference value is equal to the stencil buffer value.
**compare_not_equal**,Pass stencil test if the reference value is not equal to the stencil buffer value.
**compare_less**,Pass stencil test if the reference value is less than the stencil buffer value.
**compare_less_or_equal**,Pass stencil test if the reference value is less than or equal to the stencil buffer value.
**compare_greater**,Pass stencil test if the reference value is greater than the stencil buffer value.
**compare_greater_or_equal**,Pass stencil test if the reference value is greater than or equal to the stencil buffer value.
